,Population,zip code,household count,"<10,000","10,000~14,999","15,000~24,999","25,000~34,999","35,000~49,999","50,000~74,999","75,000~99,999","100,000~149,999","150,000~199,999",">200,000"
581,52,98195,0.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0
582,1440,98207,0.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0
583,30812,98229,12187.0,4.8,4.4,9.2,11.0,11.8,19.9,12.8,13.8,7.3,4.9
584,137,98255,54.0,22.2,0.0,35.2,9.3,5.6,16.7,7.4,3.7,0.0,0.0
585,86,98263,36.0,0.0,0.0,0.0,38.9,0.0,19.4,41.7,0.0,0.0,0.0
586,3566,98266,1408.0,14.1,5.0,23.1,4.6,18.1,11.4,15.8,7.8,0.0,0.0
587,689,98276,184.0,0.0,0.0,4.9,7.6,4.9,40.8,19.0,22.8,0.0,0.0
588,1628,98278,0.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0
589,15968,98282,6481.0,3.5,2.6,6.1,7.5,12.3,19.4,19.4,16.8,5.9,6.4
590,2521,98314,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
591,48861,98391,16231.0,2.5,1.6,4.2,4.4,9.7,18.5,16.4,25.2,10.4,7.2
592,995,98416,0.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0
593,9822,98418,3685.0,11.4,7.3,11.7,7.3,14.4,17.8,17.4,8.2,3.7,0.8
594,21,98430,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0
595,442,98438,0.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0
596,785,98447,0.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0
597,0,98544,0.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0
