Unnamed: 0.1,zip code,number_registration,Population,household count,"<10,000","10,000~14,999","15,000~24,999","25,000~34,999","35,000~49,999","50,000~74,999","75,000~99,999","100,000~149,999","150,000~199,999",">200,000",EV charging station number
167,98524,46,4212,1465.0,3.0,5.7,8.6,8.6,11.5,20.4,17.1,16.2,6.9,2.0,0.0
168,98445,115,30869,10809.0,3.6,4.3,6.2,8.2,14.5,26.2,18.0,13.0,3.5,2.5,2.0
169,98950,1,475,103.0,0.0,0.0,6.8,0.0,7.8,36.9,17.5,31.1,0.0,0.0,0.0
170,98944,24,22554,6181.0,5.6,7.7,15.5,13.5,16.6,18.2,10.5,6.7,3.4,2.2,8.0
171,98002,125,33991,12765.0,7.4,4.4,12.6,13.1,15.0,21.6,12.6,9.5,2.4,1.4,23.0
172,99357,11,4287,900.0,2.9,2.0,11.4,17.6,21.9,23.2,5.1,10.1,5.4,0.3,0.0
173,99016,89,13634,5092.0,5.0,7.9,7.0,13.1,9.1,24.7,10.9,13.5,4.6,4.3,1.0
174,98057,162,12963,5854.0,7.8,8.6,13.2,9.8,15.1,17.6,11.9,11.4,1.8,2.8,49.0
175,99163,99,33822,11300.0,19.2,9.3,15.2,10.8,10.2,10.3,9.5,8.6,3.7,3.3,10.0
176,98312,246,31524,12609.0,9.0,2.9,9.5,8.3,12.5,22.6,14.3,13.9,4.1,2.8,11.0
177,98333,131,3829,1404.0,2.7,1.6,4.6,2.0,12.0,16.1,17.2,13.3,13.1,17.5,0.0
178,98843,23,1894,590.0,3.2,1.2,4.6,12.9,24.6,25.4,13.4,10.3,2.5,1.9,0.0
179,99005,52,8488,2804.0,1.3,0.6,6.8,6.4,10.4,13.7,20.3,24.9,10.0,5.7,0.0
180,98597,162,22489,7957.0,7.6,6.4,6.9,8.9,14.0,24.8,15.7,10.5,3.4,1.9,2.0
181,98942,39,17015,6188.0,4.5,3.6,8.7,9.8,14.1,23.6,13.3,14.6,4.0,3.8,0.0
