Unnamed: 0.1,zip code,number_registration,Population,household count,"<10,000","10,000~14,999","15,000~24,999","25,000~34,999","35,000~49,999","50,000~74,999","75,000~99,999","100,000~149,999","150,000~199,999",">200,000",EV charging station number,housing_price_index
197,98047,43,6775,2382,8,0.8,6.2,10.5,21.3,23.9,10.2,17.3,0.7,1,0,411.46
198,99354,159,22911,9095,4,4.8,7.7,9.7,11.7,19.5,12,19.5,6.2,5,48,722.46
199,98903,38,14299,5123,7.4,8,10.8,10.5,15.9,20.1,11.8,10.5,2.2,2.7,0,354.91
200,99350,22,13359,4704,6.3,5.9,7.7,9.3,14.2,27.5,11.2,10.3,3,4.7,2,376.66
201,98362,138,23026,10010,8.4,6.4,11.4,11.2,15.2,17.9,13.6,10.2,3.5,2,14,704.42
202,98926,109,31848,12473,14.6,6.4,10.8,8.5,13,18,11.8,11.3,4.4,1.3,14,469.27
203,98072,865,23006,8695,3.6,1.6,2.6,5.7,7.6,12.3,11.4,21.2,14.6,19.2,46,1629.43
204,98237,12,4370,1648,6.6,7.9,16.4,5.3,14,21.4,14.1,9.4,4.5,0.4,2,252.09
205,98240,22,3099,1174,1.5,0,6.4,9.4,6,42.2,18,12.3,3,1.3,2,375.14
206,98043,197,20774,8194,3.4,3.9,7.1,6.6,14.6,20.6,20.3,14.3,5.4,3.8,7,1671.74
207,98134,85,847,199,8.5,7,2,4.5,20.1,28.1,10.6,13.1,6,0,64,1797.85
208,98188,181,24912,9631,7.6,4.9,12.8,12.7,15.1,21.3,10.3,9.1,4.1,2.3,56,1176.36
209,98671,253,22896,8134,3.9,2,7.7,7.6,12.6,16.9,19.3,18.8,6.6,4.5,0,860.85
210,98126,423,22632,9749,6.7,3.8,7.6,5.9,12.9,16.3,11.4,16,10.5,8.9,1,1652.4
211,98684,230,27550,10136,2.5,2.2,8.4,11.2,14.1,22,14.7,17,4.9,3,13,634.85
212,98045,356,14484,5426,4.2,2.8,4.8,3.9,12,11.9,13.4,23,12.1,11.9,26,1528.66
213,98664,217,22018,8823,2.9,2.6,9.6,12.8,18.3,22.6,8.9,14.6,3.1,4.6,1,973.31
214,98104,347,13989,7529,18.1,8.7,13.1,11.3,9,13.3,7.7,9.3,3.4,6.1,98,2317.78
215,98102,434,24030,14565,4.7,1.9,5.6,6.2,10.9,18.8,13.9,19.9,7.5,10.6,16,842.79
216,99202,63,19730,6850,16.3,10.5,14,10.5,17.7,13.3,7.8,4.7,3.9,1.4,12,489.56
217,98133,519,47522,21269,8.5,5.1,9.5,10.4,12.3,17,11.3,15.7,6.4,3.7,14,1797.85
218,98665,223,26275,9713,5.1,4,10.5,10.1,14.7,22,14,11.2,5.9,2.5,7,675.66
219,98802,123,29791,10788,4,3.2,10.1,11.3,14,22.6,15.2,13.1,4.5,1.9,4,1161.13
220,98146,295,27456,9670,5.2,4,8.6,9.5,14.7,16.7,12.2,15.5,8.4,5.2,1,1658.83
221,98178,254,26251,8973,5.5,2.5,9.2,9.5,12.1,18.7,16.2,17.6,4.6,4.1,0,1324.3
